N,mean_fpt_h,se_fpt_h,censored,n_censored,n_replicates
1,0.3331359561914617,0.05803687378791032,False,0,30
2,0.6426576100222438,0.0890306866098487,False,0,30
3,1.324611808803279,0.14883882076394836,False,0,50
4,1.8309380380555322,0.22871059847629194,False,0,50
5,3.7218137730737135,0.4173488258818937,False,0,50
6,5.040139329741884,0.8524090696763644,False,2,30
7,12.794834400927158,1.0850624029348317,False,11,30
8,14.151186192094146,1.2116388035526255,False,19,30
9,16.228484547372815,0.7681839322148017,False,24,30
10,16.68271987663085,0.7510559839102626,False,27,30
11,17.478858521283367,0.5211414787166327,False,29,30
12,17.933171117009426,0.06682888299057535,False,29,30
